condition,model,seed,roc_auc,pr_auc,brier,n_train,status,dataset,rate,rule_set
quarantine,logreg,20260805,0.5214522094519773,0.12462734432110868,0.11874289686040648,539,ok,diabetes_130us,0.05,naive
quarantine,hgb,20260805,0.5218205907917881,0.1185649889327497,0.12699640272085727,539,ok,diabetes_130us,0.05,naive
repair,logreg,20260805,0.6716003933743595,0.21958839303174554,0.09480557655225294,76324,ok,diabetes_130us,0.05,naive
repair,hgb,20260805,0.6731337754418476,0.22227730670590046,0.0946541004527991,76324,ok,diabetes_130us,0.05,naive
clean,logreg,20260806,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.05,naive
clean,hgb,20260806,0.6813541304720715,0.22950555764166364,0.09404821873493463,76324,ok,diabetes_130us,0.05,naive
corrupted,logreg,20260806,0.6708546779014846,0.2195250899879312,0.09478084774265674,76324,ok,diabetes_130us,0.05,naive
corrupted,hgb,20260806,0.6786448703058164,0.2327720517706658,0.0940626055953588,76324,ok,diabetes_130us,0.05,naive
quarantine,logreg,20260806,0.5609480062129425,0.1519277990018968,0.11322895215489637,540,ok,diabetes_130us,0.05,naive
quarantine,hgb,20260806,0.5342649422470034,0.126629839439619,0.12173448558507682,540,ok,diabetes_130us,0.05,naive
repair,logreg,20260806,0.6712405518617081,0.21913100904132365,0.09480859448510053,76324,ok,diabetes_130us,0.05,naive
repair,hgb,20260806,0.6736807217625044,0.22329643186229758,0.09465317907282399,76324,ok,diabetes_130us,0.05,naive
clean,logreg,20260807,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.05,naive
clean,hgb,20260807,0.6809797650197988,0.23327776046708348,0.09389486207482263,76324,ok,diabetes_130us,0.05,naive
corrupted,logreg,20260807,0.6703261124679342,0.21909572633772606,0.09482017042136495,76324,ok,diabetes_130us,0.05,naive
corrupted,hgb,20260807,0.6794813993603889,0.22813274100723419,0.0942035643938298,76324,ok,diabetes_130us,0.05,naive
quarantine,logreg,20260807,0.5442158044243691,0.14074723340475118,0.10846323283672954,537,ok,diabetes_130us,0.05,naive
quarantine,hgb,20260807,0.5315298678039431,0.12224339600935855,0.11783968718635496,537,ok,diabetes_130us,0.05,naive
repair,logreg,20260807,0.6710960604795547,0.21904916187954337,0.09482166096244041,76324,ok,diabetes_130us,0.05,naive
repair,hgb,20260807,0.6763388676348141,0.22644713561300234,0.09461930731383197,76324,ok,diabetes_130us,0.05,naive
clean,logreg,20260803,0.6710835078686481,0.22021639547528227,0.09471164419684215,76324,ok,diabetes_130us,0.1,naive
clean,hgb,20260803,0.6797893551895977,0.23046767674384105,0.09398754777395674,76324,ok,diabetes_130us,0.1,naive
