dataset,tool,rate,seed,status,seconds,precision,recall,f1,n_detected
online_retail_ii,PyDeequ,0.05,20260807,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.1,20260803,ok,3.223,1.0,0.493848,0.661176,629398
online_retail_ii,Pandera,0.1,20260803,ok,47.184,1.0,0.493848,0.661176,606690
online_retail_ii,GreatExpectations,0.1,20260803,ok,20.279,1.0,0.319436,0.484201,270906
online_retail_ii,SodaCore/DuckDB,0.1,20260803,ok,4.381,1.0,0.493848,0.661176,629398
online_retail_ii,PyDeequ,0.1,20260803,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.1,20260804,ok,2.653,1.0,0.493505,0.660869,628861
online_retail_ii,Pandera,0.1,20260804,ok,46.884,1.0,0.493505,0.660869,606247
online_retail_ii,GreatExpectations,0.1,20260804,ok,19.807,1.0,0.319055,0.483763,270812
online_retail_ii,SodaCore/DuckDB,0.1,20260804,ok,4.689,1.0,0.493505,0.660869,628861
online_retail_ii,PyDeequ,0.1,20260804,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.1,20260805,ok,2.695,1.0,0.493631,0.660981,628890
online_retail_ii,Pandera,0.1,20260805,ok,46.677,1.0,0.493631,0.660981,606134
online_retail_ii,GreatExpectations,0.1,20260805,ok,20.311,1.0,0.318917,0.483605,270745
online_retail_ii,SodaCore/DuckDB,0.1,20260805,ok,4.996,1.0,0.493631,0.660981,628890
online_retail_ii,PyDeequ,0.1,20260805,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.1,20260806,ok,2.641,1.0,0.493541,0.660901,628800
online_retail_ii,Pandera,0.1,20260806,ok,47.385,1.0,0.493541,0.660901,606160
online_retail_ii,GreatExpectations,0.1,20260806,ok,21.493,1.0,0.319261,0.484,270793
online_retail_ii,SodaCore/DuckDB,0.1,20260806,ok,3.804,1.0,0.493541,0.660901,628800
online_retail_ii,PyDeequ,0.1,20260806,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.1,20260807,ok,2.617,1.0,0.493486,0.660851,628795
online_retail_ii,Pandera,0.1,20260807,ok,46.42,1.0,0.493486,0.660851,606104
online_retail_ii,GreatExpectations,0.1,20260807,ok,22.022,1.0,0.319102,0.483817,270777
online_retail_ii,SodaCore/DuckDB,0.1,20260807,ok,3.097,1.0,0.493486,0.660851,628795
online_retail_ii,PyDeequ,0.1,20260807,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.2,20260803,ok,3.413,1.0,0.500578,0.66718,1040342
online_retail_ii,Pandera,0.2,20260803,ok,80.678,1.0,0.500578,0.66718,1018371
online_retail_ii,GreatExpectations,0.2,20260803,ok,26.36,1.0,0.323998,0.489424,555938
online_retail_ii,SodaCore/DuckDB,0.2,20260803,ok,6.018,1.0,0.500578,0.66718,1040342
online_retail_ii,PyDeequ,0.2,20260803,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.2,20260804,ok,4.232,1.0,0.500508,0.667118,1040522
online_retail_ii,Pandera,0.2,20260804,ok,81.72,1.0,0.500508,0.667118,1018374
online_retail_ii,GreatExpectations,0.2,20260804,ok,26.762,1.0,0.323905,0.489317,556086
online_retail_ii,SodaCore/DuckDB,0.2,20260804,ok,4.362,1.0,0.500508,0.667118,1040522
online_retail_ii,PyDeequ,0.2,20260804,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.2,20260805,ok,4.384,1.0,0.500209,0.666852,1039906
online_retail_ii,Pandera,0.2,20260805,ok,80.854,1.0,0.500209,0.666852,1018050
online_retail_ii,GreatExpectations,0.2,20260805,ok,26.716,1.0,0.323463,0.488813,555447
online_retail_ii,SodaCore/DuckDB,0.2,20260805,ok,4.461,1.0,0.500209,0.666852,1039906
online_retail_ii,PyDeequ,0.2,20260805,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.2,20260806,ok,3.521,1.0,0.500805,0.667382,1041207
online_retail_ii,Pandera,0.2,20260806,ok,81.865,1.0,0.500805,0.667382,1019217
online_retail_ii,GreatExpectations,0.2,20260806,ok,26.764,1.0,0.32431,0.48978,556483
online_retail_ii,SodaCore/DuckDB,0.2,20260806,ok,4.888,1.0,0.500805,0.667382,1041207
online_retail_ii,PyDeequ,0.2,20260806,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.2,20260807,ok,3.553,1.0,0.500314,0.666946,1040343
online_retail_ii,Pandera,0.2,20260807,ok,81.847,1.0,0.500314,0.666946,1018271
online_retail_ii,GreatExpectations,0.2,20260807,ok,28.272,1.0,0.323623,0.488995,555877
online_retail_ii,SodaCore/DuckDB,0.2,20260807,ok,4.451,1.0,0.500314,0.666946,1040343
online_retail_ii,PyDeequ,0.2,20260807,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.3,20260803,ok,4.021,1.0,0.506557,0.67247,1513571
online_retail_ii,Pandera,0.3,20260803,ok,118.176,1.0,0.506557,0.67247,1492689
online_retail_ii,GreatExpectations,0.3,20260803,ok,33.978,1.0,0.328017,0.493996,885177
online_retail_ii,SodaCore/DuckDB,0.3,20260803,ok,5.143,1.0,0.506557,0.67247,1513571
online_retail_ii,PyDeequ,0.3,20260803,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.3,20260804,ok,5.728,1.0,0.506749,0.672639,1512366
online_retail_ii,Pandera,0.3,20260804,ok,120.234,1.0,0.506749,0.672639,1491392
online_retail_ii,GreatExpectations,0.3,20260804,ok,34.005,1.0,0.32812,0.494112,884691
online_retail_ii,SodaCore/DuckDB,0.3,20260804,ok,4.61,1.0,0.506749,0.672639,1512366
online_retail_ii,PyDeequ,0.3,20260804,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.3,20260805,ok,4.182,1.0,0.506704,0.6726,1512179
online_retail_ii,Pandera,0.3,20260805,ok,123.383,1.0,0.506704,0.6726,1491221
online_retail_ii,GreatExpectations,0.3,20260805,ok,37.289,1.0,0.328056,0.49404,885234
online_retail_ii,SodaCore/DuckDB,0.3,20260805,ok,4.882,1.0,0.506704,0.6726,1512179
online_retail_ii,PyDeequ,0.3,20260805,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.3,20260806,ok,4.208,1.0,0.506689,0.672586,1512416
online_retail_ii,Pandera,0.3,20260806,ok,120.428,1.0,0.506689,0.672586,1491522
online_retail_ii,GreatExpectations,0.3,20260806,ok,35.243,1.0,0.328041,0.494022,885041
online_retail_ii,SodaCore/DuckDB,0.3,20260806,ok,7.499,1.0,0.506689,0.672586,1512416
online_retail_ii,PyDeequ,0.3,20260806,unavailable,,,,,0
online_retail_ii,ZTLF (ours),0.3,20260807,ok,5.971,1.0,0.506705,0.6726,1511814
online_retail_ii,Pandera,0.3,20260807,ok,122.974,1.0,0.506705,0.6726,1491072
online_retail_ii,GreatExpectations,0.3,20260807,ok,34.704,1.0,0.328031,0.494011,884505
online_retail_ii,SodaCore/DuckDB,0.3,20260807,ok,6.083,1.0,0.506705,0.6726,1511814
online_retail_ii,PyDeequ,0.3,20260807,unavailable,,,,,0
