dataset,tool,rate,seed,status,seconds,precision,recall,f1,n_detected
bank_marketing_full,PyDeequ,0.1,20260804,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.1,20260805,ok,0.389,1.0,0.740234,0.850729,32769
bank_marketing_full,Pandera,0.1,20260805,ok,3.646,1.0,0.740234,0.850729,32769
bank_marketing_full,GreatExpectations,0.1,20260805,ok,4.634,1.0,0.627382,0.771032,27806
bank_marketing_full,SodaCore/DuckDB,0.1,20260805,ok,0.359,1.0,0.740234,0.850729,32769
bank_marketing_full,PyDeequ,0.1,20260805,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.1,20260806,ok,0.241,1.0,0.739741,0.850404,32778
bank_marketing_full,Pandera,0.1,20260806,ok,2.28,1.0,0.739741,0.850404,32778
bank_marketing_full,GreatExpectations,0.1,20260806,ok,5.934,1.0,0.626759,0.770562,27800
bank_marketing_full,SodaCore/DuckDB,0.1,20260806,ok,0.616,1.0,0.739741,0.850404,32778
bank_marketing_full,PyDeequ,0.1,20260806,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.1,20260807,ok,0.23,1.0,0.740451,0.850872,32824
bank_marketing_full,Pandera,0.1,20260807,ok,2.35,1.0,0.740451,0.850872,32824
bank_marketing_full,GreatExpectations,0.1,20260807,ok,4.886,1.0,0.626472,0.770345,27802
bank_marketing_full,SodaCore/DuckDB,0.1,20260807,ok,0.361,1.0,0.740451,0.850872,32824
bank_marketing_full,PyDeequ,0.1,20260807,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.2,20260803,ok,0.473,1.0,0.746172,0.854638,71558
bank_marketing_full,Pandera,0.2,20260803,ok,5.562,1.0,0.746172,0.854638,71558
bank_marketing_full,GreatExpectations,0.2,20260803,ok,5.655,1.0,0.631733,0.774309,60646
bank_marketing_full,SodaCore/DuckDB,0.2,20260803,ok,0.429,1.0,0.746172,0.854638,71558
bank_marketing_full,PyDeequ,0.2,20260803,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.2,20260804,ok,0.449,1.0,0.747761,0.855679,71610
bank_marketing_full,Pandera,0.2,20260804,ok,4.897,1.0,0.747761,0.855679,71610
bank_marketing_full,GreatExpectations,0.2,20260804,ok,5.673,1.0,0.633931,0.775958,60769
bank_marketing_full,SodaCore/DuckDB,0.2,20260804,ok,0.459,1.0,0.747761,0.855679,71610
bank_marketing_full,PyDeequ,0.2,20260804,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.2,20260805,ok,0.257,1.0,0.747357,0.855415,71515
bank_marketing_full,Pandera,0.2,20260805,ok,4.421,1.0,0.747357,0.855415,71515
bank_marketing_full,GreatExpectations,0.2,20260805,ok,5.928,1.0,0.633871,0.775913,60714
bank_marketing_full,SodaCore/DuckDB,0.2,20260805,ok,0.75,1.0,0.747357,0.855415,71515
bank_marketing_full,PyDeequ,0.2,20260805,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.2,20260806,ok,0.277,1.0,0.74693,0.855135,71686
bank_marketing_full,Pandera,0.2,20260806,ok,4.472,1.0,0.74693,0.855135,71686
bank_marketing_full,GreatExpectations,0.2,20260806,ok,6.427,1.0,0.633241,0.775441,60844
bank_marketing_full,SodaCore/DuckDB,0.2,20260806,ok,0.754,1.0,0.74693,0.855135,71686
bank_marketing_full,PyDeequ,0.2,20260806,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.2,20260807,ok,0.267,1.0,0.74674,0.85501,71581
bank_marketing_full,Pandera,0.2,20260807,ok,4.459,1.0,0.74674,0.85501,71581
bank_marketing_full,GreatExpectations,0.2,20260807,ok,6.476,1.0,0.63305,0.775298,60743
bank_marketing_full,SodaCore/DuckDB,0.2,20260807,ok,0.803,1.0,0.74674,0.85501,71581
bank_marketing_full,PyDeequ,0.2,20260807,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.3,20260803,ok,0.3,1.0,0.753083,0.859152,116640
bank_marketing_full,Pandera,0.3,20260803,ok,6.996,1.0,0.753083,0.859152,116640
bank_marketing_full,GreatExpectations,0.3,20260803,ok,8.793,1.0,0.638156,0.779115,98940
bank_marketing_full,SodaCore/DuckDB,0.3,20260803,ok,0.569,1.0,0.753083,0.859152,116640
bank_marketing_full,PyDeequ,0.3,20260803,unavailable,,,,,0
bank_marketing_full,ZTLF (ours),0.3,20260804,ok,0.294,1.0,0.751846,0.858347,116522
bank_marketing_full,Pandera,0.3,20260804,ok,12.429,1.0,0.751846,0.858347,116522
